medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
F57801BD0CC97A7C1E8EFFF26AC18213,5369D1947FB730D84678DCB85C0A3CED,VTS,1,,2013-01-13 04:47:00,2013-01-13 04:49:00,1,120,.40,-73.970711,40.751602,-73.973488,40.746899
0794ECE3C5AD2BDEEE811C487D6CDC8B,0E49FDA0183BC296EFF1D45AE0AA283A,VTS,1,,2013-01-13 09:17:00,2013-01-13 09:25:00,1,480,2.62,-73.967415,40.759708,-73.935471,40.750313
49F90D09F4B18C950DB34C9837FD5F6E,B3EF81B3356EBD377C83E11B1085F5D4,VTS,1,,2013-01-13 09:22:00,2013-01-13 09:23:00,1,60,.58,-74.008308,40.721619,-74.007156,40.72863
1D4B6B729241B41DD3209750F0A31C36,FCF5B47B84EC9AE17BBF8498D4AC1BA2,VTS,1,,2013-01-13 09:10:00,2013-01-13 09:16:00,5,360,2.00,-73.951569,40.793499,-73.956764,40.770767
0B3D3D51C78E944F68DC04209E86D5F7,E1854037AF1B2A984F3C56208C66539D,VTS,1,,2013-01-13 09:14:00,2013-01-13 09:22:00,5,480,.91,-73.99604,40.759808,-73.983543,40.754921
790BCC5E600B53689C5920C40F9EECDD,73A3582E68C0BE8BAD8F19F61D65C36C,VTS,1,,2013-01-13 09:29:00,2013-01-13 09:32:00,1,180,.84,-73.961067,40.780907,-73.972855,40.785553
B672154F0FD3D6B5277580C3B7CBBF8E,2CCA2B0175BA9514675B42F4DA0D4562,VTS,1,,2013-01-13 09:21:00,2013-01-13 09:26:00,1,300,1.49,-73.977737,40.763542,-73.973801,40.748878
8B9AE848D41DCD058A244A9D6F0F4BF3,7086B5DC53648DDEB6F5B58D1A4B4B29,VTS,1,,2013-01-13 09:24:00,2013-01-13 09:31:00,1,420,1.11,-73.96756,40.784649,-73.97731,40.787144
F2D14A50E949305A0F25DE79774C58F7,264F64F614FED27E6E3CDBC1C387E272,VTS,1,,2013-01-13 09:12:00,2013-01-13 09:30:00,6,1080,9.20,-73.976074,40.765671,-73.870323,40.772812
446232525BBB5801AB8FB6DDB67A0FD1,7036BF64A8DB3ABFC67DEF7194534184,VTS,1,,2013-01-13 09:09:00,2013-01-13 09:29:00,5,1200,10.61,-73.98291,40.767517,-73.870323,40.773426
338AA5E5CCF2B215438CE6EB2069D8F0,5D3FFFA8FE54324048596B10BBCF0D5F,VTS,1,,2013-01-13 04:39:00,2013-01-13 04:52:00,5,780,6.70,-73.955414,40.776817,-73.94043,40.851398
67108EDF8123623806A1DAFE8811EE63,36C9437BD2FF31940BEBED44DDDDDB8A,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:51:00,1,360,1.42,-73.988937,40.72163,-73.983902,40.737728
93A078B503419FB3667305ADCD12C0C6,237667D91B174B58E85F4689081A0347,VTS,1,,2013-01-13 04:49:00,2013-01-13 04:52:00,1,180,.69,-73.992584,40.758236,-73.993706,40.752186
303E3DE4DEBD8B0D4DBD0FBAF4512372,4947DD1347CA7D0F52FCD645A2F21BDE,VTS,1,,2013-01-13 04:44:00,2013-01-13 04:52:00,5,480,1.96,-73.985031,40.741936,-73.987274,40.722443
A68E0E8A6340185E814E1253C44898C1,733EDC75957C58931F08042319E8DBD1,VTS,1,,2013-01-13 04:44:00,2013-01-13 04:55:00,2,660,4.57,-73.991898,40.721947,-73.940941,40.683022
AD9939EB5F70FF35E94CA7D909B7B7C7,26A9835AF1C31E87CC1CE6CC955EFF54,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:48:00,1,180,.08,-73.947151,40.781727,-73.947151,40.781727
3D3E86C77264624566882BB56DCB6A4D,2F79796ED202BC6C771F66869EC2EF22,VTS,1,,2013-01-13 04:09:00,2013-01-13 04:51:00,6,2520,16.83,-73.991783,40.744362,-73.770294,40.762054
379463A755417A5299F3A9F0534FE8FE,A90EE4C4D6CC4290860CE1F7A045F2EA,VTS,1,,2013-01-13 09:22:00,2013-01-13 09:25:00,1,180,1.08,-73.952667,40.768177,-73.960625,40.757446
F4E581BB51B26B6311826622034AD695,3A929C37D8624B724380E165DF8DEF0E,VTS,1,,2013-01-13 09:18:00,2013-01-13 09:26:00,5,480,2.74,-73.965012,40.775383,-73.991829,40.750591
27326B9D714EA6D0EFAA5AF77BFFFFFC,A1EDAB0FAE22B010FF11C1D8B73E9650,VTS,1,,2013-01-13 09:01:00,2013-01-13 09:26:00,5,1500,10.97,-73.984688,40.768448,-73.870529,40.773788
D5236A965DAAC8B12FC525A6E8ACAF4A,3C1A624A1DB0F6BEBE299DC93E151AEB,VTS,1,,2013-01-13 09:22:00,2013-01-13 09:28:00,1,360,1.11,-73.979782,40.775887,-73.97451,40.788166
13161340C7ACC3E435FB6DC0042C72A2,876DFF7A83A1221F00BBAA8B05E5C81B,VTS,1,,2013-01-13 09:19:00,2013-01-13 09:28:00,1,540,5.54,-73.918449,40.771538,-73.948486,40.773888
546F967BDF8B5BF5866030CBEC05A5AD,DCD59CC7D99E043641476BA3DF8BB841,VTS,1,,2013-01-13 09:24:00,2013-01-13 09:29:00,1,300,.93,-73.94503,40.77877,-73.957817,40.779739
171FD91CBF0D6FABF499A9452A4950D5,91FAD514BC3A214E6ADFB329565EF4BE,VTS,1,,2013-01-13 09:26:00,2013-01-13 09:29:00,1,180,.84,-73.992027,40.737938,-74.000366,40.730099
3502FE4265A930A42C786F3BE149CA41,4E3B6A13B826F70774740F735CFDBEBC,VTS,1,,2013-01-13 09:25:00,2013-01-13 09:32:00,1,420,1.55,-73.985703,40.735355,-74.000374,40.727222
91FD7951320B9228789AF90613D90254,4C41D9F8071DC7FA9A526ADACD6DAD77,VTS,1,,2013-01-13 04:33:00,2013-01-13 04:56:00,1,1380,11.52,-73.975937,40.750477,-73.862022,40.768581
00FB3D49C3DE5E00247421028A43A731,2FE9596A0E107B449739E47D8157ED69,VTS,1,,2013-01-13 09:14:00,2013-01-13 09:30:00,6,960,5.55,-73.980927,40.759651,-73.924698,40.8106
1E76B5DCA3A19D03B0FB39BCF2A2F534,7912A67646AA03114A289CFBD706E05C,VTS,1,,2013-01-13 09:22:00,2013-01-13 09:34:00,2,720,2.63,-73.95536,40.773586,-73.990173,40.775822
2A233E4FBD87E3B88DC13F5BE79C8545,0D39B5F30153B7D34F8AA8793CD83B54,VTS,1,,2013-01-13 09:25:00,2013-01-13 09:31:00,1,360,2.07,-73.973663,40.763714,-73.985565,40.739208
455375859B7C841ECB99E7401B39EBA5,D08F2C1589B4D7B62C10750A8F45D9DD,VTS,1,,2013-01-13 09:30:00,2013-01-13 09:32:00,1,120,.44,-73.970764,40.748676,-73.973747,40.75045
2C67FDEE467560DD87A3BA316AE09929,F70EADEFE51F30CC0C3C087D451EB909,VTS,1,,2013-01-13 09:20:00,2013-01-13 09:32:00,5,720,3.91,-73.918976,40.771965,-73.968605,40.760262
1E5F4C1CAE7AB3D06ABBDDD4D9DE7FA6,0234324D3A4F0680FCCE4BC01518E6D9,VTS,1,,2013-01-13 09:16:00,2013-01-13 09:27:00,2,660,3.81,-73.990875,40.750801,-74.012947,40.703918
B16822F8529756824B2F47B60D0521C0,25D77B3548F579DBAD7A3EC82B9B2698,VTS,1,,2013-01-13 09:27:00,2013-01-13 09:29:00,1,120,.43,-73.945145,40.778713,-73.946777,40.774124
EAB479A33FCBA0B5C34439288141E9CB,F3F1467B85D126FDBE14C278A9E16B92,VTS,1,,2013-01-13 09:28:00,2013-01-13 09:30:00,5,120,.48,-73.951431,40.771866,-73.958122,40.774998
69F42CD1BA72F0F090E85F299C7B6301,65BABDDBC94F4C1AA996FA693E4D4F57,VTS,3,,2013-01-13 09:06:00,2013-01-13 09:30:00,1,1440,15.23,-73.98024,40.745525,-74.177094,40.694763
8E38C50BAA33C67E44678D7D18B87B54,4E3AA1185615CEED03BB1DC7A94030D0,VTS,1,,2013-01-13 09:27:00,2013-01-13 09:28:00,5,60,.47,-73.96563,40.774246,-73.968315,40.770721
AA1E8B1C5ABD6BB487D0424A9A575E61,AA34962E1D5B7EF1DF8D77C392D37D2B,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:41:00,5,540,2.66,-73.996109,40.723866,-73.956512,40.708755
8B15A77EA92F4291DD8DAB6E7099F92A,07570576F0B71F31372110F17DFDB95F,VTS,1,,2013-01-13 04:22:00,2013-01-13 04:43:00,5,1260,4.97,-73.993431,40.75227,-73.925575,40.761791
0B18AD7511A013CB08333F312AFDEC96,A417BECC48A654E859D4EF669B78C615,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:41:00,1,540,5.22,-73.978645,40.724346,-73.948166,40.782974
70D0498946F93A8DBBBE15B0CD795266,79216E832D03565DDF4A7688D1BD38B4,VTS,1,,2013-01-13 04:20:00,2013-01-13 04:41:00,4,1260,7.23,-73.997726,40.716808,-74.013077,40.646072
B5781F9E08373A794BEDA2E197EA8CEB,3593C4217B5DC04545BC5AA031560615,VTS,1,,2013-01-13 04:08:00,2013-01-13 04:41:00,2,1980,11.90,-73.98864,40.74839,-73.847763,40.729309
299893C4DBCEB1A4C318E9C458AB19D6,2F924E94689C01647873057864B27A30,VTS,1,,2013-01-13 04:40:00,2013-01-13 04:44:00,1,240,.77,-73.98597,40.727066,-73.99276,40.723297
CE38B8CE89B8619FCD50CF7BCEC97719,96E39F1BF1E8F9A06CC37D49C5CC040D,VTS,1,,2013-01-13 04:37:00,2013-01-13 04:41:00,1,240,1.25,-73.956055,40.719418,-73.93792,40.726082
C4FE2221BD53BC3C391B9427BC1D9BC8,1F433C862AF07FF2661750667CFC2D81,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:48:00,6,180,.78,-73.967255,40.760208,-73.97245,40.75956
2C61D13555745960DD807F1237ED5B7A,A605F82B4931ADB1420E6326F4905802,VTS,1,,2013-01-02 14:40:00,2013-01-02 14:54:00,1,840,3.34,-73.872917,40.774067,-73.920128,40.768417
3CA222A2D0C3997718479ACF669D8162,D4716AFCB9ACDE493F1787DC00311B0C,VTS,1,,2013-01-13 04:31:00,2013-01-13 04:47:00,1,960,7.07,-73.995583,40.725056,-73.974937,40.73423
19228ACD05C3D25FE3EEDEE0AE9F3110,C9674190984BA193FFD8DDCC019804CF,VTS,1,,2013-01-13 04:38:00,2013-01-13 04:47:00,1,540,3.82,-73.985611,40.7472,-73.950623,40.791996
486655A6D6DBE566B22DD0E447B8154D,BD25B9AC802DCD8CA29981EE5DB9FED8,VTS,5,,2013-01-13 04:46:00,2013-01-13 04:46:00,2,0,.00,0,0,0,0
BB5707022EDCB8270E6B12374419B80C,7A9CAFAA5CB2AC2B3A4F59907B6AB368,VTS,1,,2013-01-13 04:32:00,2013-01-13 04:46:00,1,840,5.75,-73.983749,40.725716,-73.936584,40.794304
836CFC0FD06DF4F1B188B8D2893FC12F,97F42DC810C695D550F538FDC4C21EAE,VTS,1,,2013-01-13 04:43:00,2013-01-13 04:52:00,1,540,1.98,-74.00663,40.744213,-73.982246,40.731197
ABC7308241D26C44B33B12283DDC07A3,7FF91B45FAF8353870CBF463D7D22911,VTS,1,,2013-01-13 04:29:00,2013-01-13 04:50:00,5,1260,6.27,-73.988075,40.72884,-73.952461,40.800335
474C0EE2B16884B48A8FEDF1C2B2C4F7,3B3B1EFDD160681BA200B46F7F25C29C,VTS,1,,2013-01-13 04:45:00,2013-01-13 04:50:00,5,300,1.05,-74.002579,40.739815,-73.985222,40.732403
EE61CB79E10A3CC29AF018848DEC722B,25DC9534AF82608D86FEBD3A73CBDD80,VTS,1,,2013-01-13 04:42:00,2013-01-13 04:49:00,1,420,2.92,-73.976753,40.749096,-73.952759,40.780678
ADC0669F6EA3887EB3A8B7E18F66D2E8,36772EF78CB6DE5C80ABE78146D5EA28,VTS,1,,2013-01-13 04:42:00,2013-01-13 04:55:00,1,780,3.77,-73.993385,40.721607,-73.993706,40.762081
EB1AA964B5735CC09BF9CD44A25DF500,C17C29B35C998B59D9A49005E8CB158A,VTS,1,,2013-01-13 04:38:00,2013-01-13 04:50:00,1,720,5.03,-73.986633,40.730057,-73.93631,40.74789
BA5E4104F2476174ED8534EB698D4B7B,5CB40B2914B9D80670F4C2A3357736AD,VTS,1,,2013-01-13 04:31:00,2013-01-13 04:49:00,1,1080,6.22,-73.996841,40.737415,-73.915886,40.76078
58BB45685CC273416B8CF16E8F852B3F,D7D7B763134C41792068DF4E1C08DE9C,VTS,1,,2013-01-13 04:33:00,2013-01-13 04:53:00,5,1200,6.08,-73.98687,40.729649,-73.961487,40.652302
C4242CE6CCA4D6317AE4A61DAEBB6391,30BAEC190FA1C7CF0481981E4D92BB9F,VTS,1,,2013-01-13 04:33:00,2013-01-13 04:54:00,1,1260,10.96,-73.981544,40.778511,-73.864525,40.770161
7C7F7C78F1ECB5625E1F611E711DB449,FFFBCEA3D4E21E05902EE67AD556F67C,VTS,1,,2013-01-13 04:24:00,2013-01-13 04:54:00,1,1800,7.43,-74.000359,40.732422,-73.950645,40.652634
