medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
7B0FCDFF4DC4D7E6379CD6595C024F1D,D12819450666F0C19E7F3C3E3C8843C8,VTS,2013-01-13 09:23:00,CSH,7.5,0,0.5,0,0,8
6445A77D0238C473F7DD8B94A6955EA3,E7E6F9F97F18C35E0CC1AC3CCBBB4D08,VTS,2013-01-13 09:21:00,CSH,8.5,0,0.5,0,0,9
29F82724EFE521DA45B522E59D3CDB97,5C4F858B719FB432485A3D42ED3E0EE7,VTS,2013-01-13 09:23:00,CSH,7,0,0.5,0,0,7.5
084EBAFD06DB6B84F2584B9FA0CEEB82,E70BCB92622D925BA98757D2ECE46641,VTS,2013-01-13 09:11:00,CRD,33,0,0.5,6.6,0,40.1
9D2F46AB6BAE9C2BDCB66F74AA499451,C63DC7A7AF55798FCD77CFA15850CD75,VTS,2013-01-13 09:25:00,CRD,8,0,0.5,2,0,10.5
714EC144CAADB8129B9B7786A0077DFD,052C966F82A2B106DC6414C453AD7CE6,VTS,2013-01-13 09:32:00,CRD,6,0,0.5,1.2,0,7.7
57D53493E189E15442CB027CF94BB05D,798C6278E50FDDCA70E83B9D75673FEB,VTS,2013-01-13 09:29:00,CRD,8.5,0,0.5,1.7,0,10.7
92180425A1382148C8224A83C055D619,B5A70E8E2045C81C72AFD8269B3E7E15,VTS,2013-01-13 09:28:00,CSH,5,0,0.5,0,0,5.5
5943FA32855CEA9401FF1774F28AA42C,E36F3A83AEB4CE6AB7E22DC77E6D19CF,VTS,2013-01-13 09:33:00,CRD,5,0,0.5,1.25,0,6.75
A7DB496017DA565CEDE221B5C8E1D636,28129A20A3F5B2F97F485FAAE9BEFFC0,VTS,2013-01-13 09:29:00,CRD,9.5,0,0.5,1.5,0,11.5
22EA718B1B668027A26F1A817B608AC1,F06E6999E2366BD2FD7AB5478A1FAC3F,VTS,2013-01-13 09:30:00,CSH,7,0,0.5,0,0,7.5
6385CA8C99985BFBAFB477A9BDFA28C9,18FD0610CE4C054AE403F1618F703AFD,VTS,2013-01-13 09:34:00,CRD,5,0,0.5,1,0,6.5
B3CAB4B8F6674BD37143B4F191091604,942EE9B2E9F1CF1E166A4F7F8678BEBB,VTS,2013-01-13 09:30:00,CSH,7.5,0,0.5,0,0,8
AC0020A90CA1C4FD59991482BC6E319F,EC65711750948D9A68A9A0AD8C995B3A,VTS,2013-01-13 09:24:00,CSH,11.5,0,0.5,0,0,12
D5DB49A3CBC353FB7C5DC83E09E2A333,911A625DA8B7C2FB4F6FC77FA37BC307,VTS,2013-01-13 09:18:00,CSH,16,0,0.5,0,0,16.5
9B5341A0172EB269B33C6657BD6CC525,A0199F8B131BACEDA37FC8E492D86796,VTS,2013-01-13 09:26:00,CRD,10.5,0,0.5,2.1,0,13.1
1590FB3F9CE869712C563FEE46912EC0,5A0B487FA78B494E3B2B453375202C31,VTS,2013-01-13 02:14:00,CRD,7.5,0.5,0.5,1.6,0,10.1
0E839672C08B5822FFAD5BE76C289F72,C2E67E72B7D6DFA4D233160B0D05B2D5,VTS,2013-01-13 01:37:00,CSH,32.5,0.5,0.5,0,0,33.5
0A3BE3D371D9E87E699561C903AED3D5,5E234B597D46F67261581650817DCF88,VTS,2013-01-13 02:09:00,CSH,11,0.5,0.5,0,0,12
37D51EE37E2DAE1C254C65DBB16F31E7,8E80A447092369FA637F76613A62E558,VTS,2013-01-13 02:09:00,CRD,7.5,0.5,0.5,1.6,0,10.1
0AE8BD5684889081E1CA269334A536BE,437E323263D72797F2870D24C2F9E89D,VTS,2013-01-13 01:36:00,CSH,13,0.5,0.5,0,0,14
92D01E396D7AC7BD09183A7ED793E274,A346D80F83D3C8DB6B2240B13F1FAC9A,VTS,2013-01-13 02:00:00,CRD,19.5,0.5,0.5,4,0,24.5
188948B47437D569C264DBCDDC07B4A3,5B2D9CD459599E0707DC1C7F4C2C921D,VTS,2013-01-13 01:49:00,CRD,22.5,0.5,0.5,4.6,0,28.1
3605E8D8A3FCA15162014DE4FD8C4AC0,0BFF4218162BD02AD12A535DE0AF067B,VTS,2013-01-13 02:05:00,CRD,12.5,0.5,0.5,2.6,0,16.1
