pickup_time,dropoff_time,pickup_long,pickup_lat,dropoff_long,dropoff_lat,id_taxi,distance,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,payment_type,passengers,field1,field2,field3,field4
2013-01-05 08:16:58,2013-01-05 08:30:20,-73.976318,40.682724,-73.917915,40.742664,F1EF8290A54338B1396DD98E38E09143,6.50,20,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 19:04:43,2013-01-05 19:13:58,-73.966682,40.761139,-73.938515,40.792332,0F9E0728AB1E40D5CEB0C6EDBF805CCB,2.80,10,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 17:34:11,2013-01-05 17:48:54,-73.948334,40.776482,-73.99176,40.733841,33A0B414EB87DB2538CB5929BF1EEE0D,5.20,18,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 18:59:29,2013-01-05 19:12:21,-73.993202,40.724407,-73.984833,40.748741,24B56A4A0AC119529DBA559181C14FE4,2.40,11,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 03:00:46,2013-01-05 03:23:28,-73.9655,40.711113,-73.918327,40.758671,7E3256C342CAFB3C23D3ABB98B9F3FB6,5.50,21,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 04:45:14,2013-01-07 04:48:56,-73.991936,40.749622,-73.978531,40.751308,2C159C8FCCDE50174CF6CFC07E75F1BA,.90,5.5,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-01 18:45:02,2013-01-01 18:48:48,-73.982384,40.752102,-73.993332,40.736393,1F03ADDC384F4C5FB5E760528D4E0BA5,1.20,5.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 20:51:53,2013-01-05 21:02:43,-73.993828,40.721008,-73.9524,40.723228,764CA5AE502C0FEC9BB69DBCB6BB4ECC,3.30,12,0.5,0.5,0,0,CSH,3,0,0,0,0
2013-01-05 03:20:28,2013-01-05 03:43:36,-73.991142,40.750366,-73.984436,40.618481,CD9DEF073BAB75B8B36015D85FD3F777,11.20,32.5,0.5,0.5,0,0,CSH,4,0,0,0,0
2013-01-02 06:58:08,2013-01-02 07:24:24,-73.987022,40.759373,-73.862022,40.768017,DD98E2C3AF5C47B4449F720ECC5778D4,3.00,2.5,0,0.5,0,4.8,CSH,1,0,0,0,0
2013-01-06 00:46:25,2013-01-06 01:02:05,-73.991173,40.74313,-74.013763,40.702297,26FC1764E8F96A8233F8C77F21D4161A,4.50,17,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-02 08:12:21,2013-01-02 08:24:43,-73.99115,40.750023,-73.952614,40.74115,4A4DA06C65CFA356CD538AF4B899430E,2.50,11,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 19:45:00,2013-01-05 19:57:27,-73.989342,40.763168,-73.991577,40.750309,764CA5AE502C0FEC9BB69DBCB6BB4ECC,1.10,9,0,0.5,0,0,CSH,2,0,0,0,0
2013-01-05 21:23:06,2013-01-05 21:25:19,-73.959496,40.779442,-73.960724,40.775745,E8950C1BF2CE598E95DE0CA5C89FA4BA,.30,3.5,0.5,0.5,0,0,CSH,1,0,0,0,0
2013-01-05 01:12:58,2013-01-05 01:26:27,-73.904716,40.726418,-73.984154,40.760082,99115D1EA0AE33939899D652DCC34089,5.70,52,0,0.5,0,4.8,CSH,1,0,0,0,0
2013-01-06 10:56:31,2013-01-06 11:06:08,-73.95871,40.768471,-73.973656,40.763348,9BB803DFE81D89F77C37D4C05BB1ABA1,1.20,8,0,0.5,0,0,CSH,2,0,0,0,0
2013-01-07 17:38:07,2013-01-07 17:57:46,-73.873154,40.773998,-73.92878,40.859314,8F9B593AE29F10B40EBEA0BBDEDD249F,10.30,30,1,0.5,0,4.8,CSH,1,0,0,0,0
2013-01-07 14:38:35,2013-01-07 14:46:13,-73.990623,40.756813,-73.982101,40.758984,0B57B9633A2FECD3D3B1944AFC7471CF,.60,6.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 10:35:10,2013-01-07 10:42:36,-73.965843,40.758705,-73.978134,40.752731,0B57B9633A2FECD3D3B1944AFC7471CF,1.20,7,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 14:46:55,2013-01-07 14:55:46,-73.981796,40.758862,-73.967239,40.7617,0B57B9633A2FECD3D3B1944AFC7471CF,1.10,7.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 15:17:50,2013-01-08 15:25:00,-73.977318,40.764542,-73.981895,40.779526,E12F6AF991172EAC3553144A0AF75A19,1.20,7,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 18:24:11,2013-01-07 18:36:15,-73.986534,40.7342,-73.987869,40.75914,2C0E91FF20A856C891483ED63589F982,2.30,10.5,1,0.5,0,0,CSH,1,0,0,0,0
2013-01-10 12:20:38,2013-01-10 12:28:26,-73.96666,40.773125,-73.971802,40.765766,78FFD9CD0CDA541F335EF8B38FB494D6,.60,6.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-07 10:15:19,2013-01-07 10:20:10,-73.958649,40.768791,-73.970909,40.76149,FAE1370A694D0621FAE1E62FAFD64080,1.00,5.5,0,0.5,0,0,CSH,1,0,0,0,0
2013-01-08 13:56:41,2013-01-08 14:08:29,-73.975922,40.744606,-73.998146,40.729076,32D306FD3A4D7CEDCFD8D644294DD5B7,2.00,10,0,0.5,0,0,CSH,2,0,0,0,0
